,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:25 XQ798,,Kayseri (ASR),SunExpress B738 (TC-SOB),Landed 06:16,2021-06-08
1,1,06:50 XQ782,,Adana (ADA),SunExpress B738 (TC-SEJ),Landed 06:35,2021-06-08
2,2,08:10 LH2002,,Munich (MUC),Lufthansa A20N (D-AINR),Landed 07:51,2021-06-08
3,3,08:15 2B711,,Tirana (TIA),Albawings 734,Unknown,2021-06-08
4,4,08:30 XR225,,Heraklion (HER),Corendon Airlines Europe 738,Unknown,2021-06-08
5,5,09:10,OS151,Vienna (VIE),Austrian Airlines E195 (OE-LWJ),Landed 08:57,2021-06-08
6,6,09:40 LO409,,Warsaw (WAW),LOT (Star Alliance Livery) E170 (SP-LDK),Landed 09:14,2021-06-08
7,7,09:40,TK1523,Istanbul (IST),Turkish Airlines A21N (TC-LSV),Landed 09:25,2021-06-08
8,8,09:45 EW9031,,Hamburg (HAM),Eurowings A320 (D-AEWS),Landed 09:27,2021-06-08
9,9,10:10 EW9049,,Berlin (BER),Eurowings A319 (D-AGWC),Landed 09:58,2021-06-08
10,10,10:30,EW9081,Munich (MUC),Eurowings A320 (D-AEWT),Landed 10:12,2021-06-08
11,11,11:20 XC2407,,Antalya (AYT),Corendon Airlines 738,Unknown,2021-06-08
12,12,11:25,AF1606,Paris (CDG),Air France E170 (F-HBXC),Landed 11:17,2021-06-08
13,13,11:40 DE1515,,Palma de Mallorca (PMI),Condor A320 (D-AICG),Landed 11:24,2021-06-08
14,14,11:40 X32313,,Palma de Mallorca (PMI),TUI B738 (D-ATUK),Landed 11:22,2021-06-08
15,15,11:40 X32915,,Ibiza (IBZ),TUI B738 (D-ABBD),Landed 11:16,2021-06-08
16,16,11:50,KL1855,Amsterdam (AMS),KLM E75L (PH-EXX),Landed 11:40,2021-06-08
17,17,11:50 SR4521,,Heraklion (HER),Sundair A320 (D-ASGK),Unknown,2021-06-08
18,18,12:00 A3540,,Thessaloniki (SKG),Aegean Airlines A320 (SX-DNB),Landed 11:37,2021-06-08
19,19,12:05 X34429,,Corfu (CFU),TUI B738 (D-ABKI),Landed 12:03,2021-06-08
20,20,12:15 TK7740,,Istanbul (SAW),AnadoluJet B738 (TC-JFG),Landed 12:24,2021-06-08
21,21,12:25 PC1001,,Istanbul (SAW),Pegasus A21N (TC-RBC),Landed 12:10,2021-06-08
22,22,12:45 EW9589,,Palma de Mallorca (PMI),Eurowings A320 (D-AIZU),Landed 12:19,2021-06-08
23,23,12:50,LH2012,Munich (MUC),Lufthansa A319 (D-AILA),Landed 12:38,2021-06-08
24,24,13:00 N41913,,St. Petersburg (LED),Nordwind Airlines 73H,Unknown,2021-06-08
25,25,13:20 IA233,,Arbil (EBL),AirExplore B738 (OM-HEX),Landed 13:51,2021-06-08
26,26,13:25,EK55,Dubai (DXB),Emirates B77W (A6-ECI),Landed 12:58,2021-06-08
27,27,13:45 EW9815,,Catania (CTA),Eurowings A319 (D-ABGK),Landed 13:11,2021-06-08
28,28,13:55 XQ958,,Izmir (ADB),SunExpress B738 (TC-SOD),Landed 13:53,2021-06-08
29,29,13:55 X34105,,Heraklion (HER),TUI B738 (D-ATYJ),Landed 14:10,2021-06-08
30,30,16:10 XR4027,,Gran Canaria (LPA),Corendon Airlines Europe 738,Unknown,2021-06-08
31,31,16:30 EW9845,,Olbia (OLB),Eurowings A320 (D-ABNL),Landed 16:21,2021-06-08
32,32,17:05 EW9581,,Palma de Mallorca (PMI),Eurowings A320 (D-AEWR),Landed 16:51,2021-06-08
33,33,17:20,TK1527,Istanbul (IST),Turkish Airlines A21N (TC-LSP),Landed 17:28,2021-06-08
34,34,18:15 EW9593,,Palma de Mallorca (PMI),Eurowings A320 (D-AEWF),Landed 17:48,2021-06-08
35,35,18:40,LH2022,Munich (MUC),Lufthansa A319 (D-AIBC),Landed 18:27,2021-06-08
36,36,19:00,OS155,Vienna (VIE),Austrian Airlines E195 (OE-LWA),Landed 18:52,2021-06-08
37,37,19:05 EW8046,,Berlin (BER),Eurowings A319 (D-AGWA),Landed 18:56,2021-06-08
38,38,19:05,IB3132,Madrid (MAD),Iberia A20N (EC-MXY),Landed 18:59,2021-06-08
39,39,19:15 EW9591,,Palma de Mallorca (PMI),Eurowings (Eurowings Holidays Livery) A320 (OE-IQD),Landed 19:01,2021-06-08
40,40,19:25 EW9979,,Arbil (EBL),Eurowings A320 (D-AIZV),Landed 19:21,2021-06-08
41,41,19:30 XQ1328,,Zonguldak (ONQ),SunExpress B738 (TC-SOB),Landed 18:58,2021-06-08
42,42,19:30 XQ184,,Antalya (AYT),SunExpress 738,Canceled,2021-06-08
43,43,19:35 EW5229,,Nurnberg (NUE),Eurowings A320 (D-AIZU),Landed 19:16,2021-06-08
44,44,19:40 XQ180,,Antalya (AYT),SunExpress B738 (TC-SEJ),Landed 19:26,2021-06-08
45,45,20:00 EW9587,,Palma de Mallorca (PMI),Eurowings A320 (D-AEWV),Landed 19:37,2021-06-08
46,46,20:00,EW9465,London (LHR),Eurowings A319 (D-ABGQ),Landed 19:23,2021-06-08
47,47,20:50,EW9767,Zurich (ZRH),Eurowings A319 (D-ABGN),Landed 20:53,2021-06-08
48,48,20:55,EW9093,Munich (MUC),Eurowings A320 (D-ABNL),Landed 20:36,2021-06-08
49,49,21:00 EW9039,,Hamburg (HAM),Eurowings A320 (D-ABHF),Landed 20:52,2021-06-08
50,50,21:00 EW9655,,Thessaloniki (SKG),Eurowings (Borussia Dortmund Livery) A320 (D-AIZR),Landed 20:39,2021-06-08
51,51,21:00,EW9753,Vienna (VIE),Eurowings A319 (D-AGWC),Landed 21:42,2021-06-08
52,52,21:10 DE1517,,Palma de Mallorca (PMI),Condor A320 (D-AICG),Landed 20:51,2021-06-08
53,53,21:15 X34589,,Rhodes (RHO),TUI B738 (D-ABKI),Landed 20:58,2021-06-08
54,54,21:25 XC9921,,Antalya (AYT),Corendon Airlines 738,Unknown,2021-06-08
55,55,22:00 X34763,,Patras (GPA),TUI B738 (D-ABBD),Landed 21:06,2021-06-08
56,56,22:35 DE1781,,Preveza (PVK),Condor A321 (D-AIAG),Landed 22:17,2021-06-08
57,57,22:35 X32839,,Funchal (FNC),TUI fly 7S8,Unknown,2021-06-08
58,58,22:45 DE1456,,Fuerteventura (FUE),Condor A321 (D-ATCA),Landed 22:44,2021-06-08
59,59,22:55 X32119,,Tenerife (TFS),TUI B738 (D-ATUK),Landed 22:49,2021-06-08
0,0,06:30 XQ1350,,Samsun (SZF),SunExpress B738 (TC-SEJ),Landed 06:03,2021-06-10
1,1,06:55 XQ798,,Kayseri (ASR),SunExpress B738 (TC-SOB),Landed 06:31,2021-06-10
2,2,08:05 2B711,,Tirana (TIA),Albawings 734,Unknown,2021-06-10
3,3,08:10 LH2002,,Munich (MUC),Lufthansa A319 (D-AILW),Landed 08:05,2021-06-10
4,4,08:15 EW8040,,Berlin (BER),Eurowings A319 (D-AGWJ),Landed 07:49,2021-06-10
5,5,08:45,LX1016,Zurich (ZRH),Helvetic Airways E290 (HB-AZA),Landed 08:29,2021-06-10
6,6,09:10,OS151,Vienna (VIE),Austrian Airlines E195 (OE-LWJ),Landed 08:51,2021-06-10
7,7,09:40 LO409,,Warsaw (WAW),LOT E170 (SP-LDG),Landed 09:12,2021-06-10
8,8,09:40,TK1523,Istanbul (IST),Turkish Airlines A21N (TC-LSO),Landed 09:56,2021-06-10
9,9,09:45 EW9031,,Hamburg (HAM),Eurowings A320 (D-AIZV),Landed 09:20,2021-06-10
10,10,10:20,LH74,Frankfurt (FRA),Lufthansa CRJ9 (D-ACNC),Landed 10:20,2021-06-10
11,11,10:30 YM320,,Tivat (TIV),Montenegro Airlines 100,Unknown,2021-06-10
12,12,10:55,EW9083,Munich (MUC),Eurowings A319 (D-AGWC),Landed 10:37,2021-06-10
13,13,11:25,AF1606,Paris (CDG),Air France E170 (F-HBXG),Landed 11:12,2021-06-10
14,14,11:35 A3840,,Athens (ATH),Aegean Airlines A320 (SX-DVK),Landed 11:25,2021-06-10
15,15,11:35 DE1515,,Palma de Mallorca (PMI),Condor (Retro Livery) A320 (D-AICH),Landed 11:16,2021-06-10
16,16,11:40 X32313,,Palma de Mallorca (PMI),TUI B738 (D-ATUK),Unknown,2021-06-10
17,17,11:50 SR4543,,Heraklion (HER),Sundair A320 (D-ASGK),Unknown,2021-06-10
18,18,11:50 X32915,,Ibiza (IBZ),TUI B738 (D-ABKI),Landed 11:30,2021-06-10
19,19,11:50,KL1855,Amsterdam (AMS),KLM E75L (PH-EXT),Landed 11:42,2021-06-10
20,20,12:00 A3540,,Thessaloniki (SKG),Aegean Airlines A320 (SX-DNB),Landed 11:56,2021-06-10
21,21,12:15 TK7740,,Istanbul (SAW),AnadoluJet B738 (TC-JGF),Landed 12:17,2021-06-10
22,22,12:20 XC4407,,Antalya (AYT),Corendon Airlines 738,Unknown,2021-06-10
23,23,12:25 PC1001,,Istanbul (SAW),Pegasus A21N (TC-RBB),Landed 12:20,2021-06-10
24,24,12:45 EW9589,,Palma de Mallorca (PMI),Eurowings A320 (D-ABNL),Landed 12:52,2021-06-10
25,25,12:50,LH2012,Munich (MUC),Lufthansa A320 (D-AIUS),Landed 12:46,2021-06-10
26,26,13:00 TK7802,,Ankara (ESB),Turkish Airlines B738 (TC-JHA),Landed 12:27,2021-06-10
27,27,13:10,VY1898,Barcelona (BCN),Vueling A20N (EC-NAZ),Landed 12:48,2021-06-10
28,28,13:20 IA233,,Arbil (EBL),AirExplore B738 (OM-HEX),Landed 13:09,2021-06-10
29,29,13:40 SU2152,,Moscow (SVO),Aeroflot A320 (VQ-BEH),Landed 13:28,2021-06-10
30,30,13:55 XQ958,,Izmir (ADB),SunExpress B738 (TC-SEN),Landed 13:57,2021-06-10
31,31,14:00 X34589,,Rhodes (RHO),TUI (Robinson Club Resorts Livery) B738 (D-ABKN),Landed 13:42,2021-06-10
32,32,14:10 XQ186,,Antalya (AYT),SunExpress B738 (TC-SOP),Landed 13:45,2021-06-10
33,33,14:15 EW9537,,Malaga (AGP),Eurowings A320 (D-ABZL),Landed 14:17,2021-06-10
34,34,14:30 EW9681,,Athens (ATH),Eurowings A319 (D-ABGQ),Landed 14:08,2021-06-10
35,35,14:40 EW9009,,Sylt (GWT),Eurowings A319 (D-ABGK),Landed 14:14,2021-06-10
36,36,14:55 EW9655,,Thessaloniki (SKG),Eurowings A320 (D-ABHC),Landed 14:42,2021-06-10
37,37,15:30 EW9445,,Barcelona (BCN),Eurowings A319 (D-ABGP),Landed 15:08,2021-06-10
38,38,15:35 EW9581,,Palma de Mallorca (PMI),Eurowings A320 (D-AEWF),Landed 15:16,2021-06-10
39,39,16:15 EW9541,,Ibiza (IBZ),Eurowings A320 (D-ABHF),Landed 15:55,2021-06-10
40,40,16:20 EW9591,,Palma de Mallorca (PMI),Eurowings A320 (D-AIZV),Landed 16:14,2021-06-10
41,41,16:20 XR4045,,Tenerife (TFS),Corendon Airlines Europe 738,Unknown,2021-06-10
42,42,16:30 EW9861,,Naples (NAP),Eurowings A320 (D-AEWS),Landed 16:30,2021-06-10
43,43,16:35 EW9815,,Catania (CTA),Eurowings A320 (D-AEWR),Landed 16:24,2021-06-10
44,44,17:10 EW9043,,Berlin (BER),Eurowings A319 (D-ABGN),Landed 16:52,2021-06-10
45,45,17:10,LH2018,Munich (MUC),Lufthansa A20N (D-AINW),Landed 17:04,2021-06-10
46,46,17:20,TK1527,Istanbul (IST),Turkish Airlines A21N (TC-LSE),Landed 17:10,2021-06-10
47,47,17:40,KL1861,Amsterdam (AMS),KLM E190 (PH-EZH),Landed 17:16,2021-06-10
48,48,17:45 EW9539,,Valencia (VLC),Eurowings A319 (D-AGWC),Landed 17:32,2021-06-10
49,49,18:20 EW9961,,Split (SPU),Eurowings A320 (D-ABNL),Landed 18:21,2021-06-10
50,50,18:20 X32405,,Mahon (MAH),TUI B738 (D-ABKI),Unknown,2021-06-10
51,51,18:40 LH2022,,Munich (MUC),Lufthansa A320 (D-AIUS),Landed 18:18,2021-06-10
52,52,18:55 X32373,,Gran Canaria (LPA),TUI B738 (D-ABBD),Landed 18:44,2021-06-10
53,53,19:00,OS155,Vienna (VIE),Austrian Airlines A319 (OE-LDE),Landed 18:48,2021-06-10
54,54,19:05 EW8046,,Berlin (BER),Eurowings A319 (D-AGWB),Landed 18:50,2021-06-10
55,55,19:05,IB3132,Madrid (MAD),Iberia A20N (EC-MXU),Landed 18:52,2021-06-10
56,56,19:20 DE3517,,Frankfurt (FRA),Condor A320 (D-AICG),Landed 18:54,2021-06-10
57,57,19:25 BA3275,,London (LCY),British Airways E190 (G-LCYO),Landed 19:16,2021-06-10
58,58,19:25 EW9821,,Milan (MXP),Eurowings A319 (D-AGWI),Landed 19:14,2021-06-10
59,59,19:25 X32943,,Gran Canaria (LPA),TUI B738 (D-ATYJ),Landed 19:05,2021-06-10
60,60,19:35 EW9345,,Manchester (MAN),Eurowings 319,Unknown,2021-06-10
61,61,19:40 XQ180,,Antalya (AYT),SunExpress B738 (TC-SEM),Landed 19:11,2021-06-10
62,62,20:05 EW9643,,Faro (FAO),Eurowings A320 (D-AIZU),Landed 19:47,2021-06-10
63,63,20:05,OS203,Graz (GRZ),Austrian Airlines E195 (OE-LWF),Landed 19:50,2021-06-10
64,64,20:30 EW9587,,Palma de Mallorca (PMI),Eurowings A320 (D-ABZK),Landed 20:09,2021-06-10
65,65,20:50 EW9247,,Copenhagen (CPH),Eurowings A319 (D-ABGJ),Landed 20:21,2021-06-10
66,66,20:50,EW9767,Zurich (ZRH),Eurowings A320 (D-AEWS),Landed 20:31,2021-06-10
67,67,20:50 EW9783,,Budapest (BUD),Eurowings A319 (D-AGWG),Landed 20:20,2021-06-10
68,68,20:55,EW9091,Munich (MUC),Eurowings A320 (D-AIZT),Landed 20:56,2021-06-10
69,69,21:00 EW9039,,Hamburg (HAM),Eurowings A319 (D-ABGN),Landed 20:25,2021-06-10
70,70,21:00,EW9753,Vienna (VIE),Eurowings A320 (D-AEWF),Landed 20:23,2021-06-10
71,71,21:10 X32253,,Jerez (XRY),TUI fly 7S8,Unknown,2021-06-10
72,72,21:15 SR7401,,Burgas (BOJ),Sundair 320,Unknown,2021-06-10
73,73,21:40 DE1517,,Palma de Mallorca (PMI),Condor A320 (D-AICC),Landed 21:30,2021-06-10
