,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,4:50 AM KE274,,Santiago (SCL),Korean Air B77L,Unknown,2020-10-04
1,1,6:19 AM LA2781,,Miami (MIA),LATAM Airlines B763 (CC-CWF),Landed 12:39 PM,2020-10-04
2,2,6:30 AM,LA531,New York (JFK),LATAM Airlines B788 (CC-BBD),Canceled,2020-10-04
3,3,6:46 AM LA2461,,Miami (MIA),LATAM Airlines B763,Canceled,2020-10-04
4,4,7:50 AM LA2180,,Ayacucho (AYP),LATAM Airlines 320,Unknown,2020-10-04
5,5,8:02 AM VV751,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-04
6,6,8:18 AM VV111,,Chiclayo (CIX),Viva Air Peru 320,Unknown,2020-10-04
7,7,8:40 AM 4A701,,Andahuaylas (ANS),Aerodynamics F50,Unknown,2020-10-04
8,8,8:45 AM LA2359,,Pucallpa (PCL),LATAM Airlines 320,Unknown,2020-10-04
9,9,9:11 AM VV801,,Arequipa (AQP),Viva Air Peru 320,Unknown,2020-10-04
10,10,9:18 AM VV401,,Iquitos (IQT),Viva Air Peru 320,Unknown,2020-10-04
11,11,9:30 AM M62260,,Miami (MIA),Amerijet International B762,Unknown,2020-10-04
12,12,9:30 AM 4A201,,Huanuco (HUU),Aerodynamics F50,Unknown,2020-10-04
13,13,9:40 AM 4A4030,,Huanuco (HUU),Aerodynamics F5F,Unknown,2020-10-04
14,14,10:00 AM LA2372,,Santiago (SCL),LATAM Airlines A320 (CC-BFV),Canceled,2020-10-04
15,15,10:00 AM 4L321,,Bogota (BOG),Palau National Airlines 72Y,Unknown,2020-10-04
16,16,10:05 AM LA2623,,Trujillo (TRU),LATAM Airlines 320,Unknown,2020-10-04
17,17,10:47 AM LA2273,,Chiclayo (CIX),LATAM Airlines A320 (CC-BFU),Landed 10:49 AM,2020-10-04
18,18,10:50 AM LA8202,,Sao Paulo (GRU),LATAM Airlines 763,Unknown,2020-10-04
19,19,10:57 AM LA2785,,Miami (MIA),LATAM Airlines B763 (CC-CWV),Landed 11:38 AM,2020-10-04
20,20,11:05 AM LA2116,,Arequipa (AQP),LATAM Airlines 320,Unknown,2020-10-04
21,21,11:05 AM LA2309,,Piura (PIU),LATAM Airlines A320 (CC-BFI),Landed 11:04 AM,2020-10-04
22,22,11:10 AM LA2213,,Trujillo (TRU),LATAM Airlines 320,Unknown,2020-10-04
23,23,11:15 AM LA2012,,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
24,24,11:25 AM 2I2124,,Chiclayo (CIX),Star Peru 733,Unknown,2020-10-04
25,25,11:30 AM H25425,,Pucallpa (PCL),SKY Airline A20N (CC-AZI),Landed 11:12 AM,2020-10-04
26,26,11:35 AM LA2191,,Jauja (JAU),LATAM Airlines A319 (CC-BCF),Landed 11:20 AM,2020-10-04
27,27,11:35 AM LA2641,,Tarapoto (TPP),LATAM Airlines 319,Unknown,2020-10-04
28,28,11:40 AM LA2088,,Juliaca (JUL),LATAM Airlines 320,Unknown,2020-10-04
29,29,11:45 AM LA2313,,Piura (PIU),LATAM Airlines 319,Unknown,2020-10-04
30,30,11:45 AM 2I3142,,Tarapoto (TPP),Star Peru 733,Unknown,2020-10-04
31,31,12:00 PM 4L351,,Guayaquil (GYE),Palau National Airlines 72F,Unknown,2020-10-04
32,32,12:00 PM LA2162,,Tacna (TCQ),LATAM Airlines 320,Unknown,2020-10-04
33,33,12:05 PM LA2124,,Arequipa (AQP),LATAM Airlines 320,Unknown,2020-10-04
34,34,12:15 PM LA2661,,Cajamarca (CJA),LATAM Airlines 319,Unknown,2020-10-04
35,35,12:27 PM LA2255,,Tarapoto (TPP),LATAM Airlines A319 (CC-CPO),Landed 12:16 PM,2020-10-04
36,36,12:28 PM LA2809,,Miami (MIA),LATAM Airlines B763 (CC-CWY),Landed 12:34 PM,2020-10-04
37,37,12:29 PM VV753,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-04
38,38,12:30 PM H25361,,Iquitos (IQT),SKY Airline A20N (CC-AZL),Landed 12:12 PM,2020-10-04
39,39,12:35 PM LA2572,,Puerto Maldonado (PEM),LATAM Airlines 320,Unknown,2020-10-04
40,40,12:51 PM LA2361,,Pucallpa (PCL),LATAM Airlines A319 (CC-CQL),Landed 12:51 PM,2020-10-04
41,41,12:55 PM LA2046,,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
42,42,1:00 PM LA2104,,Arequipa (AQP),LATAM Airlines 319,Unknown,2020-10-04
43,43,1:20 PM H25227,,Piura (PIU),SKY Airline A20N (CC-AZD),Landed 12:59 PM,2020-10-04
44,44,1:25 PM H25142,,Arequipa (AQP),SKY Airline A20N (CC-AZE),Landed 1:02 PM,2020-10-04
45,45,1:30 PM 4A301,,Huanuco (HUU),Aerodynamics F50,Unknown,2020-10-04
46,46,1:38 PM LA2736,,Trujillo (TRU),LATAM Airlines A320 (CC-BFN),Landed 1:28 PM,2020-10-04
47,47,1:45 PM 4A4022,,Tingo Maria (TGI),Aerodynamics F5F,Unknown,2020-10-04
48,48,1:48 PM VV231,,Jaen (JAE),Viva Air Peru 320,Unknown,2020-10-04
49,49,1:52 PM VV121,,Juliaca (JUL),Viva Air Peru 320,Unknown,2020-10-04
50,50,2:04 PM LA2590,,Arequipa (AQP),LATAM Airlines A319 (CC-CYJ),Landed 2:00 PM,2020-10-04
51,51,2:10 PM LA2331,,Tumbes (TBP),LATAM Airlines A320 (CC-BFV),Landed 2:17 PM,2020-10-04
52,52,2:25 PM KL743,,Amsterdam (AMS),KLM B77W (PH-BVF),Landed 2:03 PM,2020-10-04
53,53,2:26 PM LA2235,,Iquitos (IQT),LATAM Airlines A319 (CC-CYL),Landed 2:19 PM,2020-10-04
54,54,2:30 PM LA2667,,Jaen (JAE),LATAM Airlines 320,Unknown,2020-10-04
55,55,2:40 PM LA2096,,Juliaca (JUL),LATAM Airlines 319,Unknown,2020-10-04
56,56,2:45 PM 2I3134,,Pucallpa (PCL),Star Peru 733,Unknown,2020-10-04
57,57,2:50 PM LA2217,,Talara (TYL),LATAM Airlines A320 (CC-BFK),Canceled,2020-10-04
58,58,2:55 PM 2I4121,,Huanuco (HUU),Star Peru 733,Unknown,2020-10-04
59,59,3:10 PM LA2020,,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
60,60,3:15 PM QT601,,Miami (MIA),Avianca Cargo 33F,Unknown,2020-10-04
61,61,4:05 PM LA2034,,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
62,62,4:40 PM VV851,,Arequipa (AQP),Viva Air A320 (HK-5307),Landed 3:56 PM,2020-10-04
63,63,4:44 PM LA2355,,Pucallpa (PCL),LATAM Airlines A320 (CC-BFI),Landed 4:43 PM,2020-10-04
64,64,4:45 PM H25411,,Tarapoto (TPP),SKY Airline A20N (CC-AZI),Landed 4:17 PM,2020-10-04
65,65,4:45 PM,LA2247,Iquitos (IQT),LATAM Airlines A319 (CC-BCE),Landed 4:36 PM,2020-10-04
66,66,4:50 PM H2800,,Santiago (SCL),Sky Airline 320,Unknown,2020-10-04
67,67,4:54 PM,LA640,Santiago (SCL),LATAM Airlines A320 (CC-BAZ),Canceled,2020-10-04
68,68,5:05 PM JA400,,Santiago (SCL),JetSMART 320,Unknown,2020-10-04
69,69,5:15 PM 4A501,,Tingo Maria (TGI),Aerodynamics F50,Unknown,2020-10-04
70,70,5:15 PM LA2772,,Miami (MIA),LATAM Airlines B763 (CC-CXH),Landed 5:18 PM,2020-10-04
71,71,5:16 PM VV755,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-04
72,72,5:19 PM VV505,,Piura (PIU),Viva Air Peru 320,Unknown,2020-10-04
73,73,5:45 PM 4A401,,Huanuco (HUU),Aerodynamics F50,Unknown,2020-10-04
74,74,5:45 PM 4A4042,,Huanuco (HUU),Aerodynamics F5F,Unknown,2020-10-04
75,75,5:55 PM VH316,,Bogota (BOG),Viva Air 320,Unknown,2020-10-04
76,76,5:57 PM VV301,,Cajamarca (CJA),Viva Air Peru 320,Unknown,2020-10-04
77,77,6:10 PM LA2225,,Trujillo (TRU),LATAM Airlines 319,Unknown,2020-10-04
78,78,6:15 PM H25080,,Cusco (CUZ),Sky Airline 320,Unknown,2020-10-04
79,79,6:15 PM,LA2277,Chiclayo (CIX),LATAM Airlines 319,Unknown,2020-10-04
80,80,6:15 PM LA2295,,Cajamarca (CJA),LATAM Airlines 319,Unknown,2020-10-04
81,81,6:30 PM LA2779,,Miami (MIA),LATAM Airlines (Oneworld Livery) B763 (CC-CXJ),Landed 6:28 PM,2020-10-04
82,82,6:36 PM VH360,,Medellin (MDE),Viva Air 320,Unknown,2020-10-04
83,83,6:36 PM VV381,,Tarapoto (TPP),Viva Air Peru 320,Unknown,2020-10-04
84,84,6:50 PM H25363,,Iquitos (IQT),SKY Airline A20N (CC-AZL),Landed 6:57 PM,2020-10-04
85,85,7:05 PM 2I3116,,Tarapoto (TPP),Star Peru 733,Unknown,2020-10-04
86,86,7:10 PM LA2079,,Talara (TYL),LATAM Airlines 320,Unknown,2020-10-04
87,87,7:15 PM 2I3132,,Pucallpa (PCL),Star Peru 733,Unknown,2020-10-04
88,88,7:30 PM LA2062,,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
89,89,7:30 PM X82260,,Miami (MIA),Icaro 76Y,Unknown,2020-10-04
90,90,7:50 PM 5Y56,,Campinas (VCP),Atlas Air 74F,Unknown,2020-10-04
91,91,8:10 PM,LA2205,Trujillo (TRU),LATAM Airlines 320,Unknown,2020-10-04
92,92,8:30 PM,LA2239,Iquitos (IQT),LATAM Airlines 320,Unknown,2020-10-04
93,93,9:00 PM,LA2146,Arequipa (AQP),LATAM Airlines A319 (CC-CPM),Landed 12:06 PM,2020-10-04
94,94,9:14 PM NC860,,Miami (MIA),Northern Air Cargo B763 (N379CX),Landed 9:14 PM,2020-10-04
95,95,9:35 PM,LA2064,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
96,96,9:48 PM VV757,,Cusco (CUZ),Viva Air Peru 320,Scheduled,2020-10-04
97,97,9:55 PM,B61825,Fort Lauderdale (FLL),JetBlue Airways 321,Scheduled,2020-10-04
98,98,9:55 PM,LA2092,Juliaca (JUL),LATAM Airlines 319,Scheduled,2020-10-04
99,99,10:00 PM VV123,,Juliaca (JUL),Viva Air Peru 320,Scheduled,2020-10-04
100,100,10:30 PM,LA2275,Chiclayo (CIX),LATAM Airlines 319,Scheduled,2020-10-04
101,101,10:40 PM LA2428,,Buenos Aires (EZE),LATAM Airlines 320,Scheduled,2020-10-04
102,102,10:45 PM,LA2600,Tacna (TCQ),LATAM Airlines 320,Scheduled,2020-10-04
103,103,11:00 PM VV251,,Tacna (TCQ),Viva Air Peru 320,Scheduled,2020-10-04
104,104,11:00 PM ES8565,,Caracas (CCS),Estelar 737,Scheduled,2020-10-04
105,105,11:10 PM VV803,,Arequipa (AQP),Viva Air Peru 320,Scheduled,2020-10-04
0,0,5:45 AM NC860,,Miami (MIA),StratAir B763 (N351CM),Landed 6:03 AM,2020-10-04
1,1,6:30 AM,LA531,New York (JFK),LATAM Airlines B788 (CC-BBA),Canceled,2020-10-04
2,2,6:46 AM LA2461,,Miami (MIA),LATAM Airlines B763,Canceled,2020-10-04
3,3,6:50 AM LA2471,,Mexico City (MEX),LATAM Airlines 763,Unknown,2020-10-04
4,4,7:50 AM LA2180,,Ayacucho (AYP),LATAM Airlines 320,Unknown,2020-10-04
5,5,7:54 AM JA402,,Santiago (SCL),JetSMART 320,Unknown,2020-10-04
6,6,8:02 AM VV751,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-04
7,7,8:18 AM VV111,,Chiclayo (CIX),Viva Air Peru 320,Unknown,2020-10-04
8,8,9:11 AM VV801,,Arequipa (AQP),Viva Air Peru 320,Unknown,2020-10-04
9,9,9:18 AM VV401,,Iquitos (IQT),Viva Air Peru 320,Unknown,2020-10-04
10,10,9:40 AM 4A4030,,Huanuco (HUU),Aerodynamics F5F,Unknown,2020-10-04
11,11,10:00 AM LA2372,,Santiago (SCL),LATAM Airlines A320 (CC-BFO),Canceled,2020-10-04
12,12,10:05 AM LA2623,,Trujillo (TRU),LATAM Airlines 320,Unknown,2020-10-04
13,13,10:20 AM LA2285,,Cajamarca (CJA),LATAM Airlines 320,Unknown,2020-10-04
14,14,10:45 AM LA2104,,Arequipa (AQP),LATAM Airlines A320 (CC-BFG),Landed 10:46 AM,2020-10-04
15,15,10:50 AM,LA600,Santiago (SCL),LATAM Airlines B788 (CC-BBB),Canceled,2020-10-04
16,16,10:50 AM LA2468,,Buenos Aires (EZE),LATAM Airlines 320,Unknown,2020-10-04
17,17,10:50 AM LA8202,,Sao Paulo (GRU),LATAM Airlines 763,Unknown,2020-10-04
18,18,10:50 AM MP7552,,Campinas (VCP),KLM Cargo B744 (PH-CKA),Landed 10:05 AM,2020-10-04
19,19,10:55 AM LA2273,,Chiclayo (CIX),LATAM Airlines A319 (CC-BCD),Landed 10:52 AM,2020-10-04
20,20,11:05 AM LA2116,,Arequipa (AQP),LATAM Airlines 320,Unknown,2020-10-04
21,21,11:07 AM LA2191,,Jauja (JAU),LATAM Airlines A319 (CC-BCF),Landed 11:02 AM,2020-10-04
22,22,11:07 AM LA2315,,Piura (PIU),LATAM Airlines A320 (CC-BFT),Landed 11:07 AM,2020-10-04
23,23,11:10 AM LA2213,,Trujillo (TRU),LATAM Airlines 320,Unknown,2020-10-04
24,24,11:14 AM LA2295,,Cajamarca (CJA),LATAM Airlines A320 (CC-BFI),Landed 11:22 AM,2020-10-04
25,25,11:25 AM 2I2124,,Chiclayo (CIX),Star Peru 733,Unknown,2020-10-04
26,26,11:30 AM H25425,,Pucallpa (PCL),SKY Airline A20N (CC-AZJ),Landed 11:28 AM,2020-10-04
27,27,11:35 AM VV701,,Cusco (CUZ),Viva Air A320 (HK-5308),Landed 11:33 AM,2020-10-04
28,28,11:40 AM LA2088,,Juliaca (JUL),LATAM Airlines 319,Unknown,2020-10-04
29,29,11:45 AM LA2313,,Piura (PIU),LATAM Airlines 319,Unknown,2020-10-04
30,30,11:45 AM 2I3142,,Tarapoto (TPP),Star Peru 733,Unknown,2020-10-04
31,31,11:51 AM LA2255,,Tarapoto (TPP),LATAM Airlines A320 (CC-BJD),Unknown,2020-10-04
32,32,12:00 PM LA2162,,Tacna (TCQ),LATAM Airlines 320,Unknown,2020-10-04
33,33,12:03 PM,LA2146,Arequipa (AQP),LATAM Airlines A320 (CC-BFO),Landed 12:13 PM,2020-10-04
34,34,12:05 PM LA2124,,Arequipa (AQP),LATAM Airlines 320,Unknown,2020-10-04
35,35,12:05 PM H25361,,Iquitos (IQT),SKY Airline A20N (CC-AZL),Landed 11:55 AM,2020-10-04
36,36,12:06 PM LA2012,,Cusco (CUZ),LATAM Airlines A320 (CC-BFQ),Landed 12:00 PM,2020-10-04
37,37,12:09 PM LA2572,,Puerto Maldonado (PEM),LATAM Airlines A319 (CC-CPM),Landed 12:09 PM,2020-10-04
38,38,12:13 PM LA2221,,Talara (TYL),LATAM Airlines A320 (CC-BFJ),Landed 12:16 PM,2020-10-04
39,39,12:29 PM VV753,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-04
40,40,12:30 PM LA2803,,Miami (MIA),LATAM Airlines B763 (CC-CXG),Landed 12:35 PM,2020-10-04
41,41,12:55 PM LA2046,,Cusco (CUZ),LATAM Airlines 319,Unknown,2020-10-04
42,42,1:01 PM LA2359,,Pucallpa (PCL),LATAM Airlines A319 (CC-CQL),Landed 1:00 PM,2020-10-04
43,43,1:15 PM 4A101,,Chachapoyas (CHH),Aerodynamics F50,Unknown,2020-10-04
44,44,1:20 PM H25227,,Piura (PIU),SKY Airline A20N (CC-AZI),Landed 12:57 PM,2020-10-04
45,45,1:25 PM H25142,,Arequipa (AQP),SKY Airline A20N (CC-AZE),Landed 1:20 PM,2020-10-04
46,46,1:48 PM VV231,,Jaen (JAE),Viva Air Peru 320,Unknown,2020-10-04
47,47,1:52 PM VV121,,Juliaca (JUL),Viva Air Peru 320,Unknown,2020-10-04
48,48,2:02 PM LA2235,,Iquitos (IQT),LATAM Airlines A319 (CC-CYL),Landed 1:57 PM,2020-10-04
49,49,2:04 PM LA2590,,Arequipa (AQP),LATAM Airlines A319 (CC-CYJ),Landed 2:03 PM,2020-10-04
50,50,2:20 PM LA2096,,Juliaca (JUL),LATAM Airlines A320 (CC-BFM),Landed 2:24 PM,2020-10-04
51,51,2:25 PM KL743,,Amsterdam (AMS),KLM B77W (PH-BVP),Landed 2:19 PM,2020-10-04
52,52,2:27 PM LA2217,,Talara (TYL),LATAM Airlines A320 (CC-BFK),Landed 2:40 PM,2020-10-04
53,53,2:29 PM LA2331,,Tumbes (TBP),LATAM Airlines A320 (CC-BFV),Landed 2:33 PM,2020-10-04
54,54,2:39 PM LA2667,,Jaen (JAE),LATAM Airlines A320 (CC-BFU),Landed 2:47 PM,2020-10-04
55,55,2:45 PM 2I3134,,Pucallpa (PCL),Star Peru 733,Unknown,2020-10-04
56,56,2:55 PM 2I4121,,Huanuco (HUU),Star Peru 733,Unknown,2020-10-04
57,57,3:04 PM LA2275,,Chiclayo (CIX),LATAM Airlines A320 (CC-BFP),Landed 3:10 PM,2020-10-04
58,58,3:05 PM LA2225,,Trujillo (TRU),LATAM Airlines A320 (CC-BFN),Landed 2:51 PM,2020-10-04
59,59,3:10 PM LA2020,,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
60,60,3:20 PM VV90,,Piura (PIU),Viva Air A320 (HK-5277),Landed 3:06 PM,2020-10-04
61,61,3:25 PM LA2309,,Piura (PIU),LATAM Airlines 320,Unknown,2020-10-04
62,62,3:25 PM VV80,,Iquitos (IQT),Viva Air A320 (HK-5307),Landed 3:22 PM,2020-10-04
63,63,3:34 PM LA2777,,Miami (MIA),LATAM Airlines B763 (CC-BDC),Landed 3:00 PM,2020-10-04
64,64,3:50 PM 4A601,,Tullahoma (AYX),Aerodynamics BEH,Unknown,2020-10-04
65,65,4:05 PM LA2034,,Cusco (CUZ),LATAM Airlines 320,Unknown,2020-10-04
66,66,4:30 PM LA2062,,Cusco (CUZ),LATAM Airlines A320 (CC-BFI),Unknown,2020-10-04
67,67,4:35 PM,LA2247,Iquitos (IQT),LATAM Airlines A320 (CC-BFS),Landed 4:17 PM,2020-10-04
68,68,4:37 PM LA2641,,Tarapoto (TPP),LATAM Airlines A20N (CC-BHC),Landed 4:34 PM,2020-10-04
69,69,4:45 PM H25411,,Tarapoto (TPP),Sky Airline 320,Unknown,2020-10-04
70,70,4:50 PM,DL151,Atlanta (ATL),Delta Air Lines 332,Canceled,2020-10-04
71,71,4:50 PM DL3325,,Atlanta (ATL),Delta Air Lines A332 (N860NW),Landed 4:54 PM,2020-10-04
72,72,5:05 PM LA2355,,Pucallpa (PCL),LATAM Airlines A320 (CC-BFQ),Landed 4:38 PM,2020-10-04
73,73,5:15 PM 4A501,,Tingo Maria (TGI),Aerodynamics F50,Unknown,2020-10-04
74,74,5:16 PM VV755,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-04
75,75,5:19 PM VV505,,Piura (PIU),Viva Air Peru 320,Unknown,2020-10-04
76,76,5:30 PM QT601,,Medellin (MDE),Avianca Cargo 33F,Unknown,2020-10-04
77,77,5:45 PM 4A401,,Huanuco (HUU),Aerodynamics F50,Unknown,2020-10-04
78,78,5:45 PM 4A4042,,Huanuco (HUU),Aerodynamics F5F,Unknown,2020-10-04
79,79,5:57 PM VV301,,Cajamarca (CJA),Viva Air Peru 320,Unknown,2020-10-04
80,80,6:05 PM LA2080,,Puerto Maldonado (PEM),LATAM Airlines 320,Unknown,2020-10-04
81,81,6:15 PM H25080,,Cusco (CUZ),SKY Airline A20N (CC-AZI),Landed 5:51 PM,2020-10-04
82,82,6:15 PM,LA2277,Chiclayo (CIX),LATAM Airlines 320,Unknown,2020-10-04
83,83,6:30 PM H25363,,Iquitos (IQT),SKY Airline A20N (CC-AZL),Landed 6:23 PM,2020-10-04
84,84,6:36 PM VV381,,Tarapoto (TPP),Viva Air Peru 320,Unknown,2020-10-04
85,85,7:05 PM 2I3116,,Tarapoto (TPP),Star Peru 733,Unknown,2020-10-04
86,86,7:05 PM 2I2132,,Cajamarca (CJA),Star Peru 733,Unknown,2020-10-04
87,87,7:15 PM 2I3132,,Pucallpa (PCL),Star Peru 733,Unknown,2020-10-04
88,88,7:30 PM X82262,,Miami (MIA),Icaro 76Y,Unknown,2020-10-04
89,89,8:10 PM,LA2439,Quito (UIO),LATAM Airlines 319,Unknown,2020-10-04
90,90,8:10 PM,LA2205,Trujillo (TRU),LATAM Airlines 320,Unknown,2020-10-04
91,91,8:47 PM NC862,,Miami (MIA),Northern Air Cargo B763,Canceled,2020-10-04
92,92,9:20 PM M38488,,Manaus (MAO),LATAM Cargo B763 (CC-CZZ),Unknown,2020-10-04
93,93,9:25 PM LA2447,,Bogota (BOG),LATAM Airlines 320,Unknown,2020-10-04
94,94,9:35 PM LA2064,,Cusco (CUZ),LATAM Airlines 319,Unknown,2020-10-04
95,95,9:48 PM VV757,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-04
96,96,9:55 PM,B61825,Fort Lauderdale (FLL),JetBlue Airways 321,Unknown,2020-10-04
97,97,10:00 PM VV123,,Juliaca (JUL),Viva Air Peru 320,Unknown,2020-10-04
98,98,10:09 PM UA854,,Houston (IAH),United Airlines B763,Canceled,2020-10-04
99,99,10:45 PM,LA8104,Sao Paulo (GRU),LATAM Airlines 320,Unknown,2020-10-04
100,100,10:45 PM LA2600,,Tacna (TCQ),LATAM Airlines 319,Unknown,2020-10-04
101,101,11:00 PM VV251,,Tacna (TCQ),Viva Air Peru 320,Unknown,2020-10-04
102,102,11:00 PM EF5139,,Bogota (BOG),- 737,Unknown,2020-10-04
103,103,11:10 PM VV803,,Arequipa (AQP),Viva Air Peru 320,Unknown,2020-10-04
0,0,12:05 AM 9V1520,,Caracas (CCS),Avior Airlines 734,Unknown,2020-10-05
1,1,4:40 AM KE274,,Santiago (SCL),Korean Air Cargo B77L (HL8076),Landed 6:07 AM,2020-10-05
2,2,6:11 AM IB6653,,Madrid (MAD),Iberia A359 (EC-NDR),Landed 6:11 AM,2020-10-05
3,3,6:45 AM LA601,,Los Angeles (LAX),LATAM Airlines B788 (CC-BBA),Canceled,2020-10-05
4,4,6:46 AM LA2461,,Miami (MIA),LATAM Airlines B763,Unknown,2020-10-05
5,5,6:50 AM LA2471,,Mexico City (MEX),LATAM Airlines 763,Unknown,2020-10-05
6,6,7:40 AM H2802,,Santiago (SCL),SKY Airline A20N (CC-AZF),Landed 8:12 AM,2020-10-05
7,7,7:54 AM JA402,,Santiago (SCL),JetSMART (Colibri de Arica Livery) A20N (CC-AWJ),Landed 10:34 AM,2020-10-05
8,8,8:02 AM VV751,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-05
9,9,8:18 AM VV111,,Chiclayo (CIX),Viva Air Peru 320,Unknown,2020-10-05
10,10,9:11 AM VV801,,Arequipa (AQP),Viva Air Peru 320,Unknown,2020-10-05
11,11,9:18 AM VV401,,Iquitos (IQT),Viva Air Peru 320,Unknown,2020-10-05
12,12,9:30 AM 4A201,,Huanuco (HUU),Aerodynamics F50,Unknown,2020-10-05
13,13,9:40 AM 4A4030,,Huanuco (HUU),Aerodynamics F5F,Unknown,2020-10-05
14,14,10:00 AM LA2372,,Santiago (SCL),LATAM Airlines A320 (CC-BFN),Canceled,2020-10-05
15,15,10:05 AM LA2623,,Trujillo (TRU),LATAM Airlines 320,Unknown,2020-10-05
16,16,10:20 AM LA2285,,Cajamarca (CJA),LATAM Airlines 320,Unknown,2020-10-05
17,17,10:34 AM LA2104,,Arequipa (AQP),LATAM Airlines A319 (CC-CPM),Landed 10:29 AM,2020-10-05
18,18,10:50 AM,LA2180,Ayacucho (AYP),LATAM Airlines 320,Unknown,2020-10-05
19,19,10:50 AM LA2213,,Trujillo (TRU),LATAM Airlines A319 (CC-BCE),Landed 10:42 AM,2020-10-05
20,20,10:50 AM LA2468,,Buenos Aires (EZE),LATAM Airlines 320,Unknown,2020-10-05
21,21,10:50 AM LA8202,,Sao Paulo (GRU),LATAM Airlines 763,Unknown,2020-10-05
22,22,11:00 AM 2I1192,,Andahuaylas (ANS),Star Peru 733,Unknown,2020-10-05
23,23,11:03 AM LA2012,,Cusco (CUZ),LATAM Airlines A320 (CC-BFF),Landed 10:57 AM,2020-10-05
24,24,11:05 AM LA2116,,Arequipa (AQP),LATAM Airlines 320,Unknown,2020-10-05
25,25,11:10 AM LA2273,,Chiclayo (CIX),LATAM Airlines A320 (CC-BFQ),Landed 11:10 AM,2020-10-05
26,26,11:25 AM 2I2124,,Chiclayo (CIX),Star Peru 733,Unknown,2020-10-05
27,27,11:30 AM H25425,,Pucallpa (PCL),SKY Airline A20N (CC-AZE),Landed 11:07 AM,2020-10-05
28,28,11:35 AM LA2191,,Jauja (JAU),LATAM Airlines A319 (CC-BCD),Landed 11:20 AM,2020-10-05
29,29,11:40 AM LA2088,,Juliaca (JUL),LATAM Airlines 320,Unknown,2020-10-05
30,30,11:40 AM LA2162,,Tacna (TCQ),LATAM Airlines A320 (CC-BFT),Landed 11:48 AM,2020-10-05
31,31,11:45 AM LA2313,,Piura (PIU),LATAM Airlines 320,Unknown,2020-10-05
32,32,11:45 AM 2I3142,,Tarapoto (TPP),Star Peru 733,Unknown,2020-10-05
33,33,11:59 AM LA2221,,Talara (TYL),LATAM Airlines A320 (CC-BFW),Landed 12:11 PM,2020-10-05
34,34,12:05 PM LA2124,,Arequipa (AQP),LATAM Airlines 320,Unknown,2020-10-05
35,35,12:05 PM,LA2146,Arequipa (AQP),LATAM Airlines A320 (CC-BJD),Landed 12:06 PM,2020-10-05
36,36,12:16 PM NC862,,Miami (MIA),Northern Air Cargo B763 (N379CX),Landed 12:17 PM,2020-10-05
37,37,12:25 PM LA2235,,Iquitos (IQT),LATAM Airlines A319 (CC-CQL),Landed 11:58 AM,2020-10-05
38,38,12:27 PM LA2572,,Puerto Maldonado (PEM),LATAM Airlines A320 (CC-BJE),Landed 12:29 PM,2020-10-05
39,39,12:29 PM VV753,,Cusco (CUZ),Viva Air Peru 320,Unknown,2020-10-05
40,40,12:30 PM VV701,,Cusco (CUZ),Viva Air A320 (HK-5308),Landed 12:03 PM,2020-10-05
41,41,12:37 PM LA2333,,Tumbes (TBP),LATAM Airlines A319 (CC-CYJ),Landed 12:39 PM,2020-10-05
42,42,12:55 PM LA2046,,Cusco (CUZ),LATAM Airlines 319,Unknown,2020-10-05
43,43,12:56 PM LA2357,,Pucallpa (PCL),LATAM Airlines A319 (CC-BCF),Landed 12:51 PM,2020-10-05
44,44,12:59 PM LA2641,,Tarapoto (TPP),LATAM Airlines A320 (CC-BFS),Landed 12:47 PM,2020-10-05
45,45,1:10 PM 4A4002,,Chachapoyas (CHH),Aerodynamics DH4,Unknown,2020-10-05
46,46,1:15 PM 4A101,,Chachapoyas (CHH),Aerodynamics F50,Unknown,2020-10-05
47,47,1:25 PM H25142,,Arequipa (AQP),SKY Airline A20N (CC-AZL),Landed 1:07 PM,2020-10-05
48,48,1:30 PM H25227,,Piura (PIU),SKY Airline A20N (CC-AZI),Landed 12:55 PM,2020-10-05
49,49,1:30 PM 4A301,,Huanuco (HUU),Aerodynamics F50,Unknown,2020-10-05
50,50,1:43 PM LA2315,,Piura (PIU),LATAM Airlines A320 (CC-BJF),Landed 1:37 PM,2020-10-05
51,51,1:45 PM 4A4022,,Tingo Maria (TGI),Aerodynamics F5F,Unknown,2020-10-05
