,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:02 VR663,,Espargos (SID),Cabo Verde Airlines 752,Unknown,2021-06-08
1,1,00:05,G31558,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GGW),Landed 23:51,2021-06-08
2,2,00:15 AD4197,,Brasilia (BSB),Azul Linhas Aereas A20N (PR-YSD),Landed 23:43,2021-06-08
3,3,00:25,G31968,Fortaleza (FOR),GOL Linhas Aereas B738 (PR-GTP),Landed 00:07,2021-06-08
4,4,01:00 AD4662,,Sao Paulo (CGH),Azul Linhas Aereas A20N (PR-YRF),Landed 00:59,2021-06-08
5,5,01:15,AD4152,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRL),Landed 00:51,2021-06-08
6,6,01:25,AD4263,Campina Grande (CPV),Azul Linhas Aereas AT76 (PR-AQM),Landed 01:20,2021-06-08
7,7,01:30,G34116,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GZZ),Landed 01:29,2021-06-08
8,8,01:45,LA3120,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYH),Landed 01:32,2021-06-08
9,9,01:55 AD4901,,Joao Pessoa (JPA),Azul Linhas Aereas AT76 (PR-AKJ),Landed 01:40,2021-06-08
10,10,02:20,AD4604,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRV),Landed 02:09,2021-06-08
11,11,02:30,AD4885,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJA),Landed 02:30,2021-06-08
12,12,06:30 AD4261,,Joao Pessoa (JPA),Azul Linhas Aereas AT76 (PR-AKJ),Landed 06:18,2021-06-08
13,13,06:55 AD4600,,Maceio (MCZ),Azul Linhas Aereas AT76 (PR-AQN),Landed 06:37,2021-06-08
14,14,07:00 AD4168,,Manaus (MAO),Azul Linhas Aereas A20N (PR-YRU),Landed 06:35,2021-06-08
15,15,07:15,AD4360,Sao Luis (SLZ),Azul Linhas Aereas A20N (PR-YYK),Landed 07:02,2021-06-08
16,16,07:15,AD4425,Juazeiro Do Norte (JDO),Azul Linhas Aereas E195 (PR-AXF),Unknown,2021-06-08
17,17,07:20,AD4161,Teresina (THE),Azul Linhas Aereas A20N (PR-YRJ),Landed 07:07,2021-06-08
18,18,07:20,AD4737,Vitoria (VIX),Azul Linhas Aereas E195 (PR-AUI),Landed 07:04,2021-06-08
19,19,07:30 AD4259,,Natal (NAT),Azul Linhas Aereas AT76 (PR-AQZ),Landed 07:21,2021-06-08
20,20,07:30 AD4603,,Aracaju (AJU),Azul Linhas Aereas AT76 (PR-AKI),Landed 07:16,2021-06-08
21,21,07:30 M36570,,Sao Paulo (GRU),LATAM Cargo Brasil 76V,Unknown,2021-06-08
22,22,07:35,AD4428,Salvador (SSA),Azul Linhas Aereas E195 (PR-AUF),Landed 07:09,2021-06-08
23,23,07:45,AD4255,Fortaleza (FOR),Azul Linhas Aereas E195 (PR-AUH),Landed 07:37,2021-06-08
24,24,07:45 AD5361,,Caruaru (CAU),Azul Conecta (Pink Ribbon Livery) C208 (PT-MED),Landed 07:28,2021-06-08
25,25,07:55,AD4232,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRX),Landed 07:41,2021-06-08
26,26,08:20 G31811,,Fortaleza (FOR),GOL Linhas Aereas B38M (PR-XMG),Landed 07:57,2021-06-08
27,27,09:57,LA3110,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPH),Landed 09:49,2021-06-08
28,28,10:35 AD2005,,Campinas (VCP),Azul Cargo B734 (PR-AJY),Landed 10:26,2021-06-08
29,29,11:00 AD4069,,Joao Pessoa (JPA),Azul Linhas Aereas AT76 (PR-AKJ),Landed 11:01,2021-06-08
30,30,11:10,G31860,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-VBK),Landed 10:50,2021-06-08
31,31,11:15 AD4431,,Brasilia (BSB),Azul Linhas Aereas A20N (PR-YSB),Landed 11:03,2021-06-08
32,32,11:15,AD4649,Porto Alegre (POA),Azul Linhas Aereas A20N (PR-YYL),Landed 10:57,2021-06-08
33,33,11:20,AD4518,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRI),Landed 10:54,2021-06-08
34,34,11:25 AD4200,,Sao Paulo (CGH),Azul Linhas Aereas A20N (PR-YSG),Landed 11:34,2021-06-08
35,35,11:25,G31614,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUJ),Landed 11:22,2021-06-08
36,36,11:30,AD4109,Belem (BEL),Azul Linhas Aereas A20N (PR-YRE),Landed 11:24,2021-06-08
37,37,11:30,AD4447,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YSA),Landed 11:11,2021-06-08
38,38,11:35,AD4079,Campinas (VCP),Azul Linhas Aereas A332 (PR-AIZ),Landed 11:43,2021-06-08
39,39,11:35,AD4542,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YRQ),Landed 11:28,2021-06-08
40,40,11:40 AD4155,,Maceio (MCZ),Azul Linhas Aereas AT76 (PR-AQM),Landed 11:41,2021-06-08
41,41,11:45 AD4159,,Natal (NAT),Azul Linhas Aereas AT76 (PR-AKI),Landed 11:48,2021-06-08
42,42,11:50,AD4073,Campina Grande (CPV),Azul Linhas Aereas AT76 (PR-AQZ),Landed 11:31,2021-06-08
43,43,11:50 AD4151,,Fortaleza (FOR),Azul Linhas Aereas E195 (PR-AUF),Landed 11:59,2021-06-08
44,44,11:55,AD4427,Petrolina (PNZ),Azul Linhas Aereas E195 (PR-AUH),Landed 11:54,2021-06-08
45,45,11:55,AD4467,Fernando De Noronha (FEN),Azul Linhas Aereas E195 (PR-AXF),Unknown,2021-06-08
46,46,12:00,AD4149,Salvador (SSA),Azul Linhas Aereas A20N (PR-YRC),Landed 12:03,2021-06-08
47,47,12:00 AD4157,,Aracaju (AJU),Azul Linhas Aereas AT7,Unknown,2021-06-08
48,48,12:05,G31554,Sao Paulo (CGH),GOL Linhas Aereas B737 (PR-GEK),Landed 11:56,2021-06-08
49,49,12:10 AD5363,,Serra Talhada (SET),Azul Conecta (Pink Ribbon Livery) C208 (PT-MED),Landed 12:08,2021-06-08
50,50,12:10 G31744,,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUH),Landed 11:51,2021-06-08
51,51,12:23 LA3364,,Brasilia (BSB),LATAM Airlines A321 (PT-MXC),Landed 12:13,2021-06-08
52,52,13:25 AD2046,,Vitoria (VIX),Azul Linhas Aereas -,Unknown,2021-06-08
53,53,14:10 WD5806,,Campinas (VCP),Modern Logistics 737,Unknown,2021-06-08
54,54,15:00 AD5365,,Caruaru (CAU),Azul Linhas Aereas CN1,Unknown,2021-06-08
55,55,15:14,LA3114,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXF),Landed 15:08,2021-06-08
56,56,15:35 AD4439,,Natal (NAT),Azul Linhas Aereas E195 (PR-AXF),Unknown,2021-06-08
57,57,15:35 AD4527,,Maceio (MCZ),Azul Linhas Aereas AT76 (PR-AKI),Landed 15:15,2021-06-08
58,58,15:40 AD4561,,Joao Pessoa (JPA),Azul Linhas Aereas AT76 (PR-AQM),Landed 15:50,2021-06-08
59,59,15:45,AD4146,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YRV),Landed 15:26,2021-06-08
60,60,15:50,AD4890,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YSF),Landed 15:34,2021-06-08
61,61,15:55,AD4563,Teresina (THE),Azul Linhas Aereas A20N (PR-YSG),Landed 16:31,2021-06-08
62,62,16:00,AD4091,Fernando De Noronha (FEN),Azul Linhas Aereas E195 (PR-AUF),Landed 15:47,2021-06-08
63,63,16:00,AD4607,Campina Grande (CPV),Azul Linhas Aereas AT76 (PR-AKJ),Landed 15:31,2021-06-08
64,64,16:05,AD4014,Sao Luis (SLZ),Azul Linhas Aereas A20N (PR-YRA),Landed 15:53,2021-06-08
65,65,16:10,AD4565,Salvador (SSA),Azul Linhas Aereas 320,Unknown,2021-06-08
66,66,16:10,AD4618,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRX),Landed 15:56,2021-06-08
67,67,16:15 AD4144,,Sao Paulo (CGH),Azul Linhas Aereas A20N (PR-YRU),Landed 16:12,2021-06-08
68,68,16:20,AD4437,Aracaju (AJU),Azul Linhas Aereas AT76 (PR-AQZ),Landed 16:09,2021-06-08
69,69,16:20,AD4628,Campinas (VCP),Azul Linhas Aereas A339 (PR-ANZ),Landed 16:18,2021-06-08
70,70,16:25 AD4348,,Fortaleza (FOR),Azul Linhas Aereas E195 (PR-AUH),Landed 16:22,2021-06-08
71,71,16:30,G31618,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMA),Landed 16:25,2021-06-08
72,72,16:40,G31863,Fernando De Noronha (FEN),GOL Linhas Aereas B737 (PR-GEK),Landed 16:29,2021-06-08
73,73,16:40 LA4691,,Brasilia (BSB),LATAM Airlines A320 (PR-MYV),Landed 16:33,2021-06-08
74,74,16:50 M39836,,Sao Paulo (GRU),LATAM Cargo Brasil 76V,Unknown,2021-06-08
75,75,16:55,LA3148,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXD),Landed 16:40,2021-06-08
76,76,18:50,AD4823,Rio de Janeiro (SDU),Azul Linhas Aereas 320,Unknown,2021-06-08
77,77,19:10 AD5367,,Serra Talhada (SET),Azul Linhas Aereas CN1,Unknown,2021-06-08
78,78,19:25,AD4668,Natal (NAT),Azul Linhas Aereas AT76 (PR-AKJ),Landed 19:13,2021-06-08
79,79,19:35,AD4507,Maceio (MCZ),Azul Linhas Aereas AT76 (PR-AQN),Landed 19:17,2021-06-08
80,80,20:00,AD4433,Belem (BEL),Azul Linhas Aereas A20N (PR-YYJ),Landed 19:38,2021-06-08
81,81,20:00,AD4486,Joao Pessoa (JPA),Azul Linhas Aereas AT76 (PR-AKI),Landed 19:42,2021-06-08
82,82,20:10,AD4036,Fortaleza (FOR),Azul Linhas Aereas E195 (PR-AXF),Unknown,2021-06-08
83,83,20:15,G31620,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGN),Landed 19:56,2021-06-08
84,84,20:50 AD4250,,Sao Paulo (CGH),Azul Linhas Aereas A20N (PR-YRE),Landed 20:39,2021-06-08
85,85,20:50,AD4252,Rio de Janeiro (SDU),Azul Linhas Aereas (Pink Ribbon Livery) A20N (PR-YRS),Landed 20:47,2021-06-08
86,86,20:55,AD4284,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYB),Landed 20:41,2021-06-08
87,87,21:00 AD4502,,Aracaju (AJU),Azul Linhas Aereas AT76 (PR-AQZ),Landed 20:45,2021-06-08
88,88,21:05 AD4494,,Natal (NAT),Azul Linhas Aereas AT76 (PR-AQM),Landed 20:54,2021-06-08
89,89,21:10,AD4332,Campinas (VCP),Azul Linhas Aereas A20N (PR-YYH),Landed 20:58,2021-06-08
90,90,21:10,AD4620,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRI),Landed 20:50,2021-06-08
91,91,21:20,AD4257,Salvador (SSA),Azul Linhas Aereas E195 (PR-AXC),Landed 21:14,2021-06-08
92,92,21:20,AD4676,Petrolina (PNZ),Azul Linhas Aereas E195 (PR-AUF),Landed 21:12,2021-06-08
93,93,21:25,LA3146,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHF),Landed 21:05,2021-06-08
94,94,22:25 AD4887,,Maceio (MCZ),Azul Linhas Aereas AT76 (PR-AKJ),Landed 22:09,2021-06-08
95,95,22:56 LA3028,,Brasilia (BSB),LATAM Airlines A320 (PR-MYR),Landed 22:49,2021-06-08
0,0,00:15 AD4197,,Brasilia (BSB),Azul Linhas Aereas A20N (PR-YSF),Landed 23:53,2021-06-09
1,1,01:00 AD4662,,Sao Paulo (CGH),Azul Linhas Aereas A20N (PR-YRX),Landed 01:18,2021-06-09
2,2,01:15,AD4152,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRN),Landed 01:23,2021-06-09
3,3,01:25,AD4263,Campina Grande (CPV),Azul Linhas Aereas AT76 (PR-AQM),Landed 01:02,2021-06-09
4,4,01:30,G34116,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GZW),Landed 01:14,2021-06-09
5,5,01:55 AD4901,,Joao Pessoa (JPA),Azul Linhas Aereas AT76 (PR-AQN),Landed 02:30,2021-06-09
