,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:45 XK320,,Toulouse (TLS),Air Corsica AT45 (F-HAIB),Landed 07:26,2021-06-08
1,1,08:00 AF1626,,Lyon (LYS),Air France CRJX (F-HMLG),Landed 07:44,2021-06-08
2,2,09:10 IB8686,,Madrid (MAD),Iberia Regional CRJX (EC-MQQ),Landed 08:57,2021-06-08
3,3,09:55 AF1482,,Lyon (LYS),Air France CRJX (F-HMLF),Landed 09:47,2021-06-08
4,4,10:00 TO4491,,Toulouse (TLS),Transavia B738 (F-HTVK),Landed 09:43,2021-06-08
5,5,10:10 TO4411,,Montpellier (MPL),Transavia B738 (F-HTVL),Landed 09:33,2021-06-08
6,6,10:20 TO4401,,Marseille (MRS),Transavia B738 (F-GZHL),Landed 09:55,2021-06-08
7,7,10:25,AF7720,Paris (CDG),Air France A319 (F-GRHV),Landed 10:21,2021-06-08
8,8,13:05 FR6476,,Marseille (MRS),Ryanair B738 (9H-QBT),Landed 12:58,2021-06-08
9,9,13:45,AF7724,Paris (CDG),Air France A320 (F-HBNJ),Landed 13:30,2021-06-08
10,10,13:50 V72217,,Dubrovnik (DBV),Volotea A320 (EC-NOY),Landed 13:17,2021-06-08
11,11,14:40 U27752,,Bastia (BIA),easyJet A320 (OE-ICJ),Landed 14:24,2021-06-08
12,12,14:40 V72203,,Ajaccio (AJA),Volotea A320 (EC-MBK),Landed 14:22,2021-06-08
13,13,15:40 V72127,,Figari (FSC),Volotea A320 (EC-NOP),Landed 16:03,2021-06-08
14,14,16:20,AF1793,Amsterdam (AMS),Air France CRJX (F-HMLF),Landed 16:12,2021-06-08
15,15,17:50 VY2978,,Palma de Mallorca (PMI),Vueling A320 (EC-LVS),Landed 17:35,2021-06-08
16,16,18:00 XK321,,Toulouse (TLS),Air Corsica AT45 (F-HAIB),Landed 17:42,2021-06-08
17,17,18:50 V72831,,Palma de Mallorca (PMI),Volotea A320 (EC-NOY),Landed 18:31,2021-06-08
18,18,19:15 AF1632,,Lyon (LYS),Air France CRJX (F-HMLG),Landed 19:08,2021-06-08
19,19,20:05 V72553,,Montpellier (MPL),Volotea A320 (EC-NOP),Landed 19:56,2021-06-08
20,20,20:45 V72215,,Malaga (AGP),Volotea A320 (EC-MBK),Landed 20:48,2021-06-08
21,21,21:15 AF1488,,Lyon (LYS),Air France CRJX (F-HMLF),Landed 21:14,2021-06-08
22,22,21:30 FR8290,,Luqa (MLA),Ryanair B738 (9H-QEM),Landed 21:44,2021-06-08
23,23,22:20,AF7728,Paris (CDG),Air France A318 (F-GUGO),Landed 21:59,2021-06-08
